Split point: None
Total nodes: 200
Day,Newly Infected,Newly Recovered
1,16,2
2,25,6
3,10,4
4,8,3
5,6,6
6,7,6
7,1,6
8,3,4
9,3,4
10,7,7
11,2,5
12,1,6
13,3,6
14,3,8
15,2,2
16,3,4
17,1,2
18,4,3
19,4,5
20,2,3
21,1,2
22,1,7
23,2,0
24,4,3
25,2,2
26,2,1
27,1,5
28,3,0
29,5,2
30,4,3
31,6,7
32,3,6
33,2,3
34,1,2
35,8,3
36,0,4
37,4,2
38,2,6
39,2,2
40,5,4
41,4,5
42,1,1
43,3,1
44,3,1
45,3,3
46,1,3
47,6,2
48,2,5
49,1,3
50,3,3
51,0,2
52,2,4
53,0,5
54,0,3
55,1,4
56,2,1
57,2,4
58,3,3
59,0,2
60,0,3
61,0,3
62,1,2
63,3,1
64,3,1
65,2,3
66,2,5
67,2,0
68,4,1
69,1,4
70,1,4
71,3,0
72,3,3
73,6,4
74,3,1
75,3,1
76,2,2
77,1,1
78,1,2
79,1,3
80,1,4
81,3,1
82,5,2
83,6,3
84,1,3
85,0,1
86,5,2
87,0,1
88,2,0
89,5,1
90,2,3
91,3,3
92,1,5
93,2,4
94,1,2
95,3,3
96,1,1
97,1,1
98,1,3
99,3,2
