uid,d,t,x,y
0,0,0,163,60
0,0,1,163,60
0,0,2,163,61
0,0,5,163,60
0,0,8,163,61
0,0,9,163,60
0,0,11,163,60
0,0,12,163,61
0,0,13,163,60
0,0,14,163,61
0,0,15,163,60
0,0,17,163,61
0,0,18,163,61
0,0,19,163,60
0,0,20,163,61
0,0,21,163,61
0,0,22,163,61
0,0,23,163,61
0,0,24,163,61
0,0,31,163,61
0,0,32,149,62
0,0,33,139,75
0,0,36,139,74
0,0,37,140,74
0,0,38,162,60
0,0,39,163,61
0,0,40,163,60
0,0,43,163,60
0,0,44,163,60
0,0,45,163,61
0,0,47,163,61
0,1,3,163,61
0,1,4,163,60
0,1,5,163,61
0,1,6,163,60
0,1,7,163,60
0,1,26,163,61
0,1,28,163,61
0,1,29,163,60
0,1,30,163,61
0,1,31,164,60
0,1,32,163,60
0,1,35,163,61
0,1,36,163,60
0,1,37,161,61
0,1,39,160,57
0,1,41,162,59
0,2,1,163,60
0,2,2,163,61
0,2,4,163,60
0,2,5,163,61
0,2,6,163,60
0,2,7,163,61
0,2,8,163,61
0,2,9,163,60
0,2,11,163,61
0,2,12,163,60
0,2,13,163,61
0,2,14,163,60
0,2,15,163,60
0,2,16,163,60
0,2,17,163,60
0,2,18,163,60
0,2,19,163,61
0,2,20,163,60
0,2,21,163,61
0,2,22,163,60
0,2,24,163,61
0,2,25,163,60
0,2,26,163,61
0,2,27,163,60
0,2,29,163,60
0,2,30,163,61
0,2,31,163,60
0,2,36,163,61
0,2,37,163,60
0,2,38,163,60
0,2,40,152,61
0,2,41,135,77
0,2,42,135,77
0,2,43,135,77
0,2,44,135,77
0,3,11,134,77
0,3,12,136,76
0,3,13,160,60
0,3,14,160,60
0,3,17,160,57
0,3,19,160,58
0,3,20,161,58
0,3,21,163,61
0,3,22,163,60
0,3,23,163,60
0,3,33,163,60
0,3,34,163,60
0,3,35,163,60
0,3,36,163,60
0,3,37,163,61
0,3,38,163,60
0,3,39,163,61
0,3,40,140,72
0,3,41,135,77
0,3,42,135,77
0,3,43,134,77
0,3,44,135,77
0,4,12,151,82
0,4,13,132,84
0,4,15,129,80
0,4,16,160,57
0,4,17,159,57
0,4,19,160,58
0,4,20,160,57
0,4,22,161,57
0,4,23,163,61
0,4,24,163,60
0,4,25,163,61
0,4,26,163,60
0,4,27,163,61
0,4,28,163,60
